Geo Point;Geo Shape;OBJID;ID;Fusswegtyp;Strassenkategorie;Bemerkung
47.5700259326,7.63917850793;"{""type"": ""LineString"", ""coordinates"": [[7.638943034266863, 47.56957613373237], [7.638986186105513, 47.5696578841919], [7.639037485745463, 47.56975766197651], [7.639139606505589, 47.56994996936685], [7.639179402462508, 47.57002617640989], [7.639210091492583, 47.57008724474033], [7.639241248145742, 47.5701454252768], [7.639301653932815, 47.57025983797621], [7.639393716567942, 47.57043452579989], [7.639399976207091, 47.57045577611554], [7.639391023132537, 47.570478023988926]]}";391;391;Trottoir;Zone30;
47.5703138342,7.63652294201;"{""type"": ""LineString"", ""coordinates"": [[7.635122218431646, 47.57025295549084], [7.635130688941613, 47.57022910788411], [7.635171552673617, 47.570207130244185], [7.635192480038441, 47.57020258007254], [7.635291518929548, 47.57021143348888], [7.636434759172138, 47.57029840828132], [7.636875678679307, 47.57033470329401], [7.637187577240397, 47.570361881307704], [7.637539515501448, 47.57040638389139], [7.63776765526642, 47.57043820927877], [7.63792102791409, 47.57046629495179], [7.637937262561277, 47.57047914613751]]}";400;400;Trottoir;Zone30;
47.5722552565,7.63871650696;"{""type"": ""LineString"", ""coordinates"": [[7.638646883984721, 47.57209495113616], [7.638786129939097, 47.572415561905004]]}";404;404;Trottoir;Zone30;
47.5728370977,7.63609483049;"{""type"": ""LineString"", ""coordinates"": [[7.63612240937044, 47.57310547575965], [7.636103320723888, 47.57309004798256], [7.636097443734855, 47.57304624967418], [7.636090454728572, 47.57270220779109], [7.636089188236348, 47.572618613553445], [7.636091019080424, 47.57259622514325], [7.636094760311727, 47.572580102097405], [7.636111863791704, 47.57256912775959]]}";410;410;Trottoir;Zone30;
47.5766255762,7.63894305538;"{""type"": ""LineString"", ""coordinates"": [[7.638461108371034, 47.57657044000813], [7.638486210956605, 47.576601236252436], [7.63852815234824, 47.57661405219039], [7.639295691757525, 47.5766410798266], [7.639368042878314, 47.57663966899747], [7.639400378387943, 47.57662865893212], [7.639422158124352, 47.57659576744867]]}";412;412;Trottoir;Zone30;
47.57572212,7.64046488254;"{""type"": ""LineString"", ""coordinates"": [[7.639422158124352, 47.57659576744867], [7.639446591546506, 47.57625827333778], [7.639449350180815, 47.57623201601777], [7.639458789347444, 47.576211539105095], [7.639484380907572, 47.576177993483576], [7.639768315908551, 47.5759809912637], [7.640085528956636, 47.5757663840672], [7.640141567127688, 47.575732299942345], [7.640427596512623, 47.57558425406634], [7.640722190089638, 47.57543442984358], [7.640926988539661, 47.575333245906904], [7.641046304147744, 47.57528552485138], [7.641168180461336, 47.57528917115635], [7.641253056161667, 47.57532446757116], [7.641684831597066, 47.57556870323163], [7.641766400331445, 47.57561140684008], [7.641818800062882, 47.57562033605576]]}";413;413;Trottoir;Zone30;
47.5760662053,7.63984735571;"{""type"": ""LineString"", ""coordinates"": [[7.640403648552908, 47.57567256860078], [7.640252077641084, 47.575749178609264], [7.640179876360933, 47.575789892137145], [7.639928679108784, 47.57596219608456], [7.639600091095888, 47.57618488081103], [7.639555428935335, 47.57621185801073], [7.639545012796966, 47.57622701235689], [7.639530828278678, 47.5762508790907], [7.639523812376368, 47.57641003441824], [7.639506436641848, 47.57659931846024]]}";417;417;Trottoir;Zone30;
47.5762837139,7.64510646349;"{""type"": ""LineString"", ""coordinates"": [[7.644375240082208, 47.576848699913214], [7.644388650537823, 47.57686928972997], [7.644413493777725, 47.576890506879394], [7.644458346634808, 47.576916842023536], [7.6444907550856, 47.576928386563864], [7.644526978893993, 47.57693669561449], [7.64521577942184, 47.57679308721457], [7.645451241182534, 47.57674434602431], [7.645536380403714, 47.57672293364962], [7.64555817122696, 47.57669728989654], [7.64555808927543, 47.57667618186688], [7.645322770154061, 47.57614812207141], [7.644863622380177, 47.57510744055892], [7.644852112701472, 47.575086838423125]]}";422;422;Trottoir;Zone30;
47.5751258281,7.64398100118;"{""type"": ""LineString"", ""coordinates"": [[7.643184603616212, 47.57524344688219], [7.643217961201969, 47.5752498367324], [7.643572400528035, 47.575191869481664], [7.64473516787876, 47.57500425864932], [7.644776050437648, 47.57499065974396]]}";427;427;Trottoir;Zone30;
47.574871622,7.64555468254;"{""type"": ""LineString"", ""coordinates"": [[7.646222868095632, 47.57476532364239], [7.645420737440746, 47.57489431798516], [7.644989697418029, 47.57496321916012], [7.644963051579346, 47.57496713368324], [7.644925890362615, 47.57496010353051], [7.644895804110229, 47.574933589491785]]}";432;432;Trottoir;Zone30;
47.5773370971,7.64724403666;"{""type"": ""LineString"", ""coordinates"": [[7.646851616611375, 47.576561049336085], [7.646877444620306, 47.57659257096162], [7.647055987620406, 47.57696078556804], [7.647174990957206, 47.577200568838876], [7.647239279352728, 47.577325933491714], [7.647295901075272, 47.57744164364031], [7.647457131248405, 47.577762374945586], [7.647607843656882, 47.5780747427668], [7.647625152396113, 47.57811965310675]]}";436;436;Trottoir;Zone40;
47.579416978,7.64851870764;"{""type"": ""LineString"", ""coordinates"": [[7.649155999948846, 47.58046694189391], [7.649117888111505, 47.580459285254264], [7.64909301332937, 47.58043098217817], [7.648768830950839, 47.57984010795623], [7.648511871414746, 47.57939085185115], [7.648378627006879, 47.57916591736748], [7.648177388399378, 47.57884074469796], [7.648124643143603, 47.5787450030144], [7.647905574622296, 47.578363336647094], [7.647907386715212, 47.57834077724256]]}";439;439;Trottoir;Zone40;
